,text,coarse_label,fine_label
70,What body of water does the Danube River flow into ?,4,35
71,Who is the founder of Scientology ?,3,29
72,What does the six-footed Musca domestica become when it enters a house ?,1,13
73,What is the history of skateboarding ?,2,25
74,Who starred in Singing in the Rain and The Singing Nun ?,3,29
75,How do I make fuel bricks from recycled newspaper ?,2,26
76,What 19th-century painter died in the Marquesas Islands ?,3,29
77,The corpus callosum is in what part of the body ?,1,3
78,How do I log on to home page at Headquarters U.S. European Command ?,2,26
79,"What country did the Nazis occupy for 1 , CD NNS IN NNP NNP NNP .",4,33
80,What is Nebraska 's most valuable resource ?,1,13
81,How many species of the Great White shark are there ?,5,38
82,What is the origin of head lice ?,2,25
83,What is the nickname for the state of Mississippi ?,4,36
84,What was the first domesticated bird ?,1,2
85,How many villi are found in the small intestine ?,5,38
86,What country did King Wenceslas rule ?,4,33
87,What is a fear of shadows ?,1,7
88,Who were the five Marx brothers ?,3,29
89,In which year was New Zealand excluded from the ANZUS alliance ?,5,39
90,When did CNN begin broadcasting ?,5,39
91,What causes the body to shiver in cold temperatures ?,2,27
92,What are bear and bull markets ?,2,24
93,What J.R.R. Tolkien book features Bilbo Baggins as the central character ?,1,5
94,What is `` dew point '' ?,2,24
95,What is the meaning of Jesus ?,2,24
96,What company 's logo is a `` W '' in a circle ?,3,28
97,What is the definition of a cascade ?,2,24
98,When did Rococo painting and architecture flourish ?,5,39
99,What country 's national passenger rail system is called Via ?,4,33
100,Who invented Make-up ?,3,29
101,What is the origin of the word `` attic '' ?,2,25
102,What did Delilah do to Samson 's hair ?,2,25
103,What kind of animals were in the Paleozoic era ?,1,2
104,Which of the following was Rhodes Scholar ?,3,29
105,Who comprised the now-defunct comic book team known as the Champions ?,3,29
106,How do you make a paintball ?,2,26
107,What U.S. state is Fort Knox in ?,4,36
108,What is a female rabbit called ?,1,2
109,Where is the highest point in Japan ?,4,34
110,Where do chihuahuas come from ?,2,25
111,Where does Barney Rubble go to work after he drops Fred off in the `` Flintstones '' cartoon series ?,4,35
112,What are the world 's four oceans ?,4,35
113,What 's the only work by Michelangelo that bears his signature ?,1,5
114,What is the largest snake in the world ?,1,2
115,In what medium is Stuart Hamblen considered to be the first singing cowboy ?,1,5
116,Where on the Internet can I find a song lyrics database similar to the International Lyrics Server ?,4,35
117,How much money does a back injury lawsuit get ?,5,41
118,What 's the common name for acetylsalicylic acid ?,1,21
119,What does the Georgetown `` Hoya '' mean ?,2,24
120,Where can I find a list of `` classic '' books 5th and 6th graders should read ?,4,35
121,Which two products use a tiger as their symbol ?,1,15
122,How is the election of a new Pope announced to the world ?,2,26
123,How long does it take for your blood to make one complete trip through the body ?,5,44
124,How do chickens have baby chicks ?,2,26
125,What is the historical relationship of Catholic Church and bingo ?,2,25
126,How was the element calcium named ?,2,26
127,What crooner joined The Andrews Sisters for Pistol Packin Mama ?,3,29
128,What piano company claims its product is the `` Instrument of the immortals '' ?,3,28
129,When did the Bounty mutiny take place ?,5,39
130,What novel inspired the movie BladeRunner ?,1,5
131,What is a transistor ?,2,24
132,What is a film starring Jude Law ?,1,5
133,What Hollywood dog died in the arms of Jean Harlow in 1932 ?,1,2
134,What are the most common elements in the Earth 's crust ?,1,18
135,"How much would it cost to purchase a 2-foot-square party tent , with sides , ?",5,41
136,What actress has received the most Oscar nominations ?,3,29
137,What are equity securities ?,2,24
138,What is gymnophobia ?,2,24
139,How many years do fossils take to form ?,5,38
140,Where is the Orinoco ?,4,35
141,What was the name of the `` Little Rascals '' dog ?,1,2
142,"What city boasts Penn 's Landing , on the banks of the Delaware river ?",4,32
143,What Broadway musical was inspired by Cervantes 's Don Quixote ?,1,5
144,"What is the origin of the word , JJ .",2,25
145,How many hostages were killed in the Entebbe raid ?,5,38
146,How you can raise your IQ ?,2,26
147,What does INRI stand for when used on Jesus ' cross ?,0,1
148,Who produces Spumante ?,3,28
149,Who earns their money the hard way ?,3,29
150,Who founded the People 's Temple Commune ?,3,29
151,What athlete makes the most money from sports merchandise sales ?,3,29
152,How many bends are there in a standard paper clip ?,5,38
153,Who discovered electricity ?,3,29
154,What part of your body contains the corpus callosum ?,1,3
155,Who was the first American in space ?,3,29
156,What two South American countries do n't border Brazil ?,4,33
157,What album put The Beatles on the cover of Time in 1967 ?,1,5
158,"What poem contains the line , `` grow old with me the best is yet to be '' .",1,5
159,What is a dental root canal ?,2,24
160,What war did the Wanna-Go-Home Riots occur after ?,1,8
161,What is the busiest air travel season ?,5,39
162,What 's the colored part of the eye called ?,1,3
163,What are hook worms ?,2,24
164,Where is the Rose Bowl played ?,4,35
165,Which Japanese car maker had its biggest percentage of sale in the domestic market ?,3,28
166,Who is the mayor of Marbella ?,3,29
167,"What sun-blasted , 14-mile wide valley is just north of the Mojave desert ?",4,35
168,In what year did Thatcher become prime minister ?,5,39
169,How many months does it take the moon to revolve around the Earth ?,5,38
170,Where are the 49 steps ?,4,35
171,In what year was De Gaulle elected president of France ?,5,39
172,Who sings the themes for `` Dawson 's Creek '' and `` Felicity '' ?,3,29
173,Who directed `` Jaws '' ?,3,29
174,On what T.V. show could Tom Terrific be found ?,1,5
175,What Indian tribe is F Troop perpetually doing battle with ?,3,28
176,Where did Indian Pudding come from ?,2,25
177,Why do some clothing labels say `` Use a nonchlorine bleach '' ?,2,27
178,How many colonies were involved in the American Revolution ?,5,38
179,What is the name of the city that Maurizio Pellegrin lives in ?,4,32
180,Where can I find pictorial directions on how to build a very simple treehouse ?,4,35
181,"What game 's board shows the territories of Irkutsk , Yakutsk and Kamchatka ?",1,17
182,What is the name of the managing director of Apricot Computer ?,3,29
183,What is the occupation of Nicholas Cage ?,3,30
184,Why do horseshoes bring luck ?,2,27
185,"What is the 401 , K , plan ?",2,24
186,What causes pneumonia ?,2,27
187,What are the three winter months in the southern hemisphere ?,5,39
188,What does gringo mean ?,2,24
189,What country contains Africa 's northernmost point ?,4,33
190,What therapy attempts to elicit the `` primal scream '' ?,1,7
191,Where is the Kalahari desert ?,4,35
192,Which Ventura County police department seized the largest cocaine shipment in it 's history ?,3,28
193,What city is sometimes called Gotham ?,4,32
194,What dangles over the tongue from the palate ?,1,3
195,Who created Dennis the Menace ?,3,29
196,What dummy received an honorary degree from Northwestern University ?,3,29
197,When was the first Wall Street Journal published ?,5,39
198,What countries have the largest areas of forest ?,4,33
199,How do I start a web based business ?,2,26
200,Name Alvin 's brothers,3,29
201,What is Eagle 's syndrome styloid process ?,2,24
202,How did Jayne Mansfield die ?,2,26
203,When did the royal wedding of Prince Andrew and Fergie take place ?,5,39
204,What actor said in A Day at the Races : `` Either he 's dead or my watch has stopped '' ?,3,29
205,What explorer was nicknamed Iberia 's Pilot ?,3,29
206,CNN began broadcasting in what year ?,5,39
207,What is a ball that hits the foul pole called ?,1,21
208,What makes hamburgers taste like steakburgers ?,2,27
209,Which company created the Internet browser Mosaic ?,3,28
210,What are the rites accompanying the circumcision of a newly born-child in Judaism called ?,1,8
211,What was the education system in the 1960 's ?,1,13
212,What South American city has the world 's highest commercial landing field ?,4,32
213,How can I find out which cities have cable-modem access ?,2,26
214,What is Betsy Ross famous for ?,2,27
215,How many species of sharks are there ?,5,38
216,What is `` snoogans '' ?,2,24
217,How many people are there in the world ?,5,38
218,What shrubs can be planted that will be safe from deer ?,1,14
219,What organization 's offices were broken into at Watergate in 1972 ?,3,28
220,What is the design of the ship Titanic ?,2,25
221,What does S.O.S. stand for ?,0,1
222,Name a technique widely used to detect birth defects ?,1,20
223,What is the daily requirement of folic acid for an expectant mother ?,2,25
224,What is the `` 7-minute cigarette '' ?,2,24
225,What four forms does gold occur in ?,1,13
226,What is the acreage of the Chappellet vineyard ?,5,48
227,How do you correctly say the word ` qigong ' ?,2,26
228,When did beethoven die ?,5,39
229,How much does a new railroad coal car cost ?,5,41
230,What two European countries entered the War of American Independence against the British ?,4,33
231,What is the filmmakers collabrative ?,2,24
232,What Russian composer 's Prelude in C Sharp Minor brought him fame and fortune ?,3,29
233,What caused Harry Houdini 's death ?,2,27
234,"Who was the mother of the man who would not be king , the duke of Windsor ?",3,29
235,How many revolutions does a standard LP make in three minutes ?,5,38
236,What is the name of the tallest mountain in the world ?,4,34
237,Where can I find a review of Nightmare on Elm Street in a film journal ?,4,35
238,What 's the slowest Olympic swimming stroke ?,1,20
239,What was the name of the first Russian astronaut to do a spacewalk ?,3,29
240,What disease is transmitted by the Anopheles mosquito ?,1,7
241,What rum is so `` mixable '' it is a one-brand bar ?,1,9
242,How many South American countries have the letter Z in their names ?,5,38
243,What is the contents of proposition 98 ?,2,24
244,Where was George Washington born ?,4,35
245,"How many people on the ground were killed from the bombing of Pan Am Flight 103 over Lockerbie , Scotland , December 21 , CD .",5,38
246,Who wrote NN DT NNP NNP '' ?,3,29
247,What is paracetamol ?,2,24
248,What are the powers and weaknesses of Green Lantern 's ring ?,2,25
249,"Which mosquito 's bite draws blood , DT NN CC DT NN .",1,2
250,When was the first steel mill in the United States built ?,5,39
251,What diminutive American female gymnast stole the show at the 1984 Olympics ?,3,29
252,What is the origin of the name Katie ?,2,25
253,"What schools in the Washington , DC NN NN VBP NN NN NN NN .",3,28
254,When did the Berlin Wall go up ?,5,39
255,Who is Terrence Malick ?,3,31
256,What instrument is Ray Charles best known for playing ?,1,10
257,"What 's the meaning of the Latin battle cry : Ad arma , ad arma .",2,24
258,What is the mascot for Notre Dame University ?,1,13
259,"What Las Vegas hotel burned in November , 1980 , with the loss of 84 lives ?",4,35
260,When did Mount St. Helen last have a significant eruption ?,5,39
261,CNN is the abbreviation for what ?,0,1
262,When did World War I start ?,5,39
263,How many feet are there in a fathom ?,5,38
264,What is a Canada two-penny black ?,2,24
265,What European city do Nicois live in ?,4,32
266,How can I find out what year a Beanie Baby was introduced ?,2,26
267,What is the classic definition of tragic hero ?,2,24
268,To what does Microsoft 's Windows 3 owe its success ?,1,13
269,Who was President of Afghanistan in 1994 ?,3,29
270,"What are other ways of getting stretch marks besides pregnancy , weight loss , and weight lifting ?",1,20
271,What did brontosauruses eat ?,1,9
272,What color bottles do good Rhine wines come in ?,1,4
273,Who was the lead actress in the movie ` Sleepless in Seattle ' ?,3,29
274,Who was the 16th President of the United States ?,3,29
275,Who are the two sons of Ozzie and Harriet Nelson ?,3,29
276,What is molybdenum ?,2,24
277,When is Boxing Day ?,5,39
278,What is the lowest level of the American judiciary ?,1,13
279,When was the battle of the Somme fought ?,5,39
280,How many people did Randy Craft kill ?,5,38
281,What 's the official animal of Canada ?,1,2
282,When did Spielberg direct `` Jaws '' ?,5,39
283,What is the size of the largest akita ?,5,48
284,What animal has the biggest eyes ?,1,2
285,What is California 's capital ?,4,32
286,Who was the author of the book about computer hackers called `` The Cuckoo 's Egg : Tracking a Spy Through the Maze of Computer Espionage '' ?,3,29
287,Who was the founding member of the Pink Floyd band ?,3,29
288,What European country is home to the beer-producing city of Budweis ?,4,33
289,How do I find the balance of my social security account ?,2,26
290,What is the history of Valentine 's Day cards ?,2,25
291,Where was Christopher Columbus born ?,4,35
292,What do Italians call Florence ?,1,21
293,How do you get to the top of the Eiffel Tower ?,2,26
294,What does ` PSI ' stand for ?,0,1
295,What sea did the Romans call mare nostrum ?,4,35
296,What 's the term for a bet before cards are dealt ?,1,21
297,"Which came first , according to Genesis 1 : 2 : 22 - the chicken or the egg ?",1,2
298,What city did the Flintstones live in ?,4,32
299,What is Latin for incompetent ?,1,21
300,What chemicals are used in lethal injection ?,1,7
301,What toy company is the world 's No.1 maker of female apparel ?,3,28
302,What board game does a `` wood-pusher '' play poorly ?,1,17
303,Which Doonesbury character was likely to turn into a werewolf ?,3,29
304,What is the abbreviation for micro ?,0,0
305,What are the 7 articles of the constitution ?,1,13
306,Who has won the most Super Bowls ?,3,28
307,What does NASDAQ stand for ?,0,1
308,What is BPH ?,0,1
309,What is the fastest commercial automobile that can be bought in the US ?,1,13
310,What stadium do the Miami Dolphins play their home games in ?,4,35
311,Who has the only speaking role in `` Silent Movie '' ?,3,29
312,Why is poop sometimes different colors ?,2,27
313,What was Einstein 's IQ ?,5,43
314,What day was Pearl Harbor attacked in 1942 ?,5,39
315,What girl 's name is `` Teddy '' an affectionate form of ?,3,29
316,What state is John F. Kennedy buried in ?,4,36
317,What is the best way to remove wallpaper ?,1,20
318,What U.S. state has an element named for it ?,4,36
319,What company tabulates the ballots in voting for the Academy Awards ?,3,28
320,How did the tradition of best man start ?,2,26
321,How many years ago did the ship Titanic sink ?,5,38
322,What is the deepest area of the Arctic Ocean ?,4,35
323,What are Halloween 's colors ?,1,4
324,How is silk screening done ?,2,26
325,"What is the latitude and longitude of El Paso , Texas ?",5,43
326,Who made a boat out of gopher wood ?,3,29
327,Where can I find a `` Fifth Element '' screensaver ?,4,35
328,Which Bloom County resident wreaks havoc with a computer ?,3,29
329,How do you match a name to a social security number ?,2,26
330,How does a rainbow form ?,2,26
331,What is the normal resting heart rate of a healthy adult ?,5,43
332,What is the population of Ohio ?,5,43
333,How many calories are there in a Big Mac ?,5,38
334,Hazmat stands for what ?,2,24
335,What creature scares people in the film `` Jaws '' ?,1,2
336,What part did John Peter Zenger play in the deveopment of the newspaper in America ?,3,29
337,Who followed Caesar ?,3,29
338,What are the four elements ?,1,18
339,Who was the first woman golfer to earn a million ?,3,29
340,What 's the tallest piece on a chessboard ?,1,13
341,What is Answers.com 's address ?,4,35
342,Where can I buy movies on videotape online ?,4,35
343,Who does the advertizing for Frito-Lay ?,3,29
344,Who is the leading competitor of Trans Union Company ?,3,28
345,What product did Robert Conrad dare people to knock off his shoulder ?,1,15
346,Who invented the radio ?,3,29
347,What 's the American dollar equivalent for 8 pounds in the U.K. ?,5,38
348,What are the different approaches of systems analysis ?,1,20
349,How do doctors diagnose bone cancer ?,2,26
350,Who is the man behind the pig-the man who pulls the strings and speaks for Miss Piggy ?,3,29
351,What is the speed of the Mississippi River ?,5,46
352,What are the developmental stages of a swimmer ?,1,13
353,What actor first portrayed James Bond ?,3,29
354,What ocean is the largest in the world ?,4,35
355,"Who was the first American poet to win the Nobel Prize for literature , in 1948 ?",3,29
356,What year did Jack Nicklaus join the Professional Golfers Association tour ?,5,39
357,How many sonnets did Shakespeare write ?,5,38
358,What causes the redness in your cheeks when you blush ?,2,27
359,Who won the Nobel Peace Prize in 1991 ?,3,29
360,Who are the Challengers of the Unknown ?,3,28
361,Define the Pheonix Club ?,2,24
362,Which city did Christian Crusaders fight to recapture from the Muslims ?,4,32
363,What does it mean `` Rupee Depreciates '' ?,2,24
364,What gaming devices were dubbed `` Mississippi marbles '' and `` Memphis dominoes '' ?,1,13
365,Who was the first coach of the Cleveland Browns ?,3,29
366,How successful is arometherapy ?,2,26
367,What Jewish holiday saw the start of the 1973 Mideast War ?,1,8
368,How does a copier work ?,2,26
369,What is the speed of the Mississippi River ?,5,46
370,Who said of Super Bowl III in 1969 : `` We 'll win- I guarantee it '' ?,3,29
371,What is Dudley Do-Right 's horse 's name ?,1,2
372,Who declared : `` I am down on whores and I shan 't stop ripping them '' ?,3,29
373,Where does chocolate come from ?,4,35
374,What TV game show once saw a contestant admit to picking his toes in the shower ?,1,5
375,What Soviet leader owned a Rolls-Royce ?,3,29
376,Where can I find a case on Individuals with Disabilities Education Act of 1991 ?,4,35
377,What war did Florence Nightingale tend the troops in ?,1,8
378,"Who wrote the song , `` Stardust '' ?",3,29
379,How many Beatles ' records went #1 ?,5,38
380,Who is the only prime minister of Canada to serve 22 years but not necessarily consecutively ?,3,29
381,What is the abbreviation of the company name ` General Motors ' ?,0,0
382,What mountains lie between the Arkansas and Missouri rivers ?,4,34
383,Who received the Will Rogers Award in 1989 ?,3,29
384,What is the function of RAM ?,2,27
385,What 's the closest G2 Spectrum Yellow Dwarf to Earth ?,4,35
386,How many equal angles are there in an isosceles triangle ?,5,38
387,What is the fear of cockroaches called ?,1,7
388,What CBS soap opera was interrupted by the bulletin of John F. Kennedy 's assassination ?,1,5
389,What is the use of a 24-hour clock instead of a 12-hour clock ?,2,25
390,What was the name of the lawyer who represented Randy Craft ?,3,29
391,What United States President had dreamed that he was assassinated ?,3,29
392,What film did Lee Marvin win the 1965 best actor Oscar for ?,1,5
393,Where is Basque country located ?,4,35
394,What product does `` Mrs. Olsen '' promote ?,1,15
395,What time of day did Emperor Hirohito die ?,5,39
396,What is dry ice ?,2,24
397,What 's the most powerful card in Euchre ?,1,13
398,What does `` intractable plantar keratoma '' mean ?,2,24
399,How many years did it take James Joyce to write Ulysses ?,5,38
400,What crop failure caused the Irish Famine ?,1,9
401,What South Korean city is served by Kimpo International Airport ?,4,32
402,How many types of dogs ' tails are there - three,5,38
403,What is the longest-running television series ?,1,5
404,What predators exist on Antarctica ?,1,2
405,What is the difference between a generator and an alternator ?,2,25
406,How is energy created ?,2,26
407,What beer advertised that it had `` three rings '' ?,1,9
408,What is the quantity of American soldiers still unaccounted for from the Vietnam war ?,5,43
409,What golfing accessory was patented by George Grant on December 12,1,20
410,What are the different types of plastic ?,1,13
411,How is it correct to say ` qigong ' ?,2,26
412,What was the highest mountain on earth before Mount Everest was discovered ?,4,34
413,"Where was the Ligurian Republic , 1797-185 , ?",4,35
414,What country 's people are the top television watchers ?,4,33
415,When was the women 's suffrage amendment ratified ?,5,39
416,What Polynesian people inhabit New Zealand ?,3,28
417,What movie tour of the Roman empire features the admonition : `` Row well and live '' ?,1,5
418,What Nevada center has been dubbed The Biggest Little City in the World ?,4,32
419,"What President lived at 219 North Delaware Street , Independence , Missouri ?",3,29
420,Give a reason for American Indians oftentimes dropping out of school .,2,27
421,Where must a soccer goalie stand to be permitted to handle the ball ?,4,35
422,What is the difference between classical conditioning and operant conditioning ?,2,25
423,In what U.S. state was the first woman governor elected ?,4,36
424,What are some interesting facts and information about dogsledding ?,2,25
425,What year did Hitler die ?,5,39
426,What famous model was married to Billy Joel ?,3,29
427,What kind of animal is Babar ?,1,2
428,What is Jane Goodall known for ?,2,27
429,What killed Bob Marley ?,1,13
430,How much money are Dumbo 's ears insured for ?,5,41
431,Who danced into stardom with Fred Astaire in 1941 's You 'll Never Get Rich ?,3,29
432,Who is Stein Eriksen ?,3,31
433,What does the name Billie mean ?,2,24
434,Who is the fastest swimmer in the world ?,3,29
435,What is the highest peak in Africa ?,4,34
436,Where is Procter & Gamble headquartered in the U.S. ?,4,35
437,What desert has been called The Garden of Allah ?,4,35
438,What do bicornate animals have two of ?,1,13
439,What function does a community 's water tower serve ?,2,27
440,What is a fear of weakness ?,1,7
441,How many miles is it to Ohio from North Carolina ?,5,38
442,How much snow equals an inch of rain ?,5,38
443,What does G.M.T. stand for ?,0,1
444,What does Inuit and Eskimo mean ?,2,24
445,What song served as the closing theme of The Johnny Cash Show ?,1,5
446,What field sport did dentist William Beers promote and write a standard book of rules for ?,1,17
447,How do I tie dye clothes ?,2,26
448,When does the average teenager first have intercourse ?,5,39
449,Why doesn 't www.answers.com have any answers to my questions ?,2,27
450,What actor 's autobiography is titled All My Yesterdays ?,3,29
451,What Russian master spy lived in the U.S. under the name Emil Goldfus ?,3,29
452,Where 's the 19th hole on a golf course ?,4,35
453,What 's nature 's purpose for tornadoes ?,2,27
454,Who played the original Charlie 's Angels ?,3,29
455,Where can I find a person 's address from a telephone number ?,4,35
456,"What English word comes from the Old French covrefeu , meaning cover fire ?",1,23
457,What musical instrument did Prewitt play in James Jones 's From Here to Eternity ?,1,10
458,Where did Sarge Steel get his metal hand ?,4,35
459,What makes popcorn pop ?,2,27
460,Who wrote The Night of the Iguana ?,3,29
461,Where does your hair grow the fastest ?,1,3
462,What country did King Gustav V reign over from 197 to 195 ?,4,33
463,Who painted Mother and Child ?,3,29
464,What is the speed of the Mississippi River ?,5,46
465,In what area of the world was the Six Day War fought ?,4,35
466,What is the brightest star visible from Earth ?,4,35
467,What film marked Robert Redford 's directorial debut ?,1,5
468,What was Mao 's second name ?,3,29
469,What film or films has Jude Law appeared in ?,1,5
470,Where do hyenas live ?,4,35
471,Who is the `` Queen Mother '' ?,3,31
472,What 's the most commonly-spoken language in Belgium ?,1,11
473,Who has more DNA - a man or a woman ?,3,29
474,What are Maid-Rites ?,2,24
475,"What children 's tale contains the line : `` Come , Cinderslut , and hold this skein of wool for me '' ?",1,5
476,What level of government or governmental agency is responsible for dealing with racism ?,3,28
477,How many referees work a soccer game ?,5,38
478,What cocktail do you concoct with whisky and sweet vermouth ?,1,9
479,How do you say `` fresh '' in Spanish ?,1,21
480,What do bee hives do in cranberry bogs ?,2,25
481,What caused the Lynmouth floods ?,2,27
482,When is the Tulip Festival in Michigan ?,5,39
483,"Who came up with the name , El Nino ?",3,29
484,What movie did Madilyn Kahn star in with Gene Wilder ?,1,5
485,What type of bridge is the Golden Gate Bridge ?,1,13
486,What dictator has the nickname `` El Maximo '' ?,3,29
487,What stereo manufacturer is `` Slightly ahead of its time '' ?,3,28
488,What U.S. city is The Queen of the Pacific ?,4,32
489,What TV sitcom character had the maiden name Ethel Potter ?,3,29
490,What was the first Lifesaver flavor ?,1,9
491,Who kept the most famous diary in the English language ?,3,29
492,Where can I find out the top 1 singles ?,4,35
493,How many degrees cooler is the inside of a cucumber than the air outside ?,5,38
494,What Spanish artist painted Crucifixion ?,3,29
495,What is the Jewish bible called ?,1,5
496,Why is the grass green ?,2,27
497,What is a firewall ?,2,24
498,What spy novelist served as Moscow correspondent for Reuter and The Times of London ?,3,29
499,Which oil company almost picked a word that meant `` stalled car '' in Japanese as its new international name ?,3,28
500,How long does it take for Spider-Man 's web to evaporate ?,5,44
501,Who was Randy Steven Craft 's lawyer ?,3,29
502,What was known as the Spice Island ?,4,35
503,Who was the first host of Person to Person ?,3,29
504,Name the Ranger who was always after Yogi Bear .,3,29
505,"What deck of cards includes the Wheel of Fortune , the Lovers , and Death ?",1,13
506,What does the Statue of Liberty wear on her feet ?,1,13
507,Who is the superstar in rent-a-cars ?,3,29
508,McCarren Airport is located in what city ?,4,32
509,"What household facility contains a float ball , ballcock , and overflow tube ?",1,13
510,What was the name of Betty Boop 's dog ?,1,2
511,What fraction of a beaver 's life is spent swimming ?,5,45
512,What was the Bridge of San Luis Rey made of ?,1,18
513,What do economists do ?,2,25
514,What country has the largest sheep population ?,4,33
515,"What do I need to do to take my dog with me to live in Dominica , West Indies for a year ?",2,25
516,What country is the world 's largest importer of cognac ?,4,33
517,How many years is Johnnie Walker Black Label aged ?,5,38
518,What does SIDS stand for ?,0,1
519,What is Grenada 's main commodity export ?,1,13
520,"How much would a black-and-white 1-cent stamp be worth , Thomas Jefferson on it , ?",5,41
521,What makes a clitoris sensitive ?,2,27
522,"What country has the most time zones , with 11 ?",4,33
523,What `` magic '' does Mandrake employ ?,1,13
524,Who is the president of Stanford University ?,3,29
525,Whose first presidential order was : `` Let 's get this goddamn thing airborne '' ?,3,29
526,"What was introduced commercially by Bayer A.G. of Leverkusen , in 1899 ?",1,13
527,What city is Logan Airport in ?,4,32
528,What is a nanometer ?,2,24
529,How many innings are there in a regulation softball game ?,5,38
530,When did CNN go on the air ?,5,39
531,What is the largest city on the Great Lakes ?,4,32
532,What is the telephone number for the University of Kentucky ?,5,37
533,Who invented baseball ?,3,29
534,How many wives did Brigham Young have ?,5,38
535,What product on the market is good for hiding facial scars ?,1,15
536,How long is the Coney Island boardwalk ?,5,40
537,What city gained renown for its pea-soup fogs ?,4,32
538,What does `` Janelle '' mean ?,2,24
539,How do I get another city 's newspaper ?,2,26
540,Name a movie about the Sioux Indians starring Kevin Costner .,1,5
541,"Who was shot in the back during a Poker game in Deadwood , the Dakota territory ?",3,29
542,What are the distinct physical characterstics of the Arabian horse ?,2,25
543,What is a fear of thunder ?,1,7
544,What animal has killed the most people ?,1,2
545,How many colleges are in Wyoming ?,5,38
546,What Russian seaport has a name meaning `` Lord of the East '' ?,4,32
547,Where can stocks be traded on-line ?,4,35
548,When was the Battle of Hastings ?,5,39
549,What kind of file has the extension .dbf ?,1,13
550,When did Muhammad live ?,5,39
551,"What then-derogatory term was applied to the painters Monet , Sisley , Pissarro , Renoir and Degas ?",1,21
552,What is a wop ?,2,24
553,Where do rocks come from ?,2,25
554,How do I stop background noise in a car stereo ?,2,26
555,Where do people mountain climb in Nepal ?,4,34
556,What is the best college in the country ?,3,28
557,What is viscosity ?,2,24
558,What was the name of the sitcom that Alyssa Milano starred in with Tony Danza ?,1,5
559,What are the Nordic nations ?,4,33
560,Where on the Internet can I get information about the Fifth Amendment on the American Bill of Rights ?,4,35
561,What U.S. state borders Illinois to the north ?,4,36
